Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Manhattan,61,MN04,Hamilton Heights,48520,2668,2388,2523,3232,4776,5219,4245,3515,3424,3384,3125,2687,2183,5151,33.9
Manhattan,61,MN06,Manhattanville,22950,1334,1394,1505,1863,2247,2188,1706,1527,1554,1569,1383,1163,974,2543,32.7
Manhattan,61,MN09,Morningside Heights,55929,2098,1849,1846,4827,10046,7417,4454,3197,2880,2795,2970,2791,2311,6448,29.9
Manhattan,61,MN11,Central Harlem South,43383,2686,2449,2391,2622,3416,4197,3879,3566,3774,3427,3063,2328,1745,3840,35.1
Manhattan,61,MN12,Upper West Side,132378,7197,5482,4817,4338,6600,11971,11292,10406,10004,9557,9393,9469,9283,22569,41.9
Manhattan,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,70150,2601,1646,1339,1891,6111,9675,8828,6684,6044,5331,4664,4070,3645,7621,37.2
Manhattan,61,MN14,Lincoln Square,61489,3656,2036,1547,2104,3274,6009,6997,5709,4701,4003,3876,3707,3720,10150,39.5
Manhattan,61,MN15,Clinton,45884,1299,851,771,1103,4384,7093,5878,4208,3648,3282,3009,2789,2404,5165,36.8
Manhattan,61,MN17,Midtown-Midtown South,28630,819,408,326,1328,3303,4552,3419,2469,1870,1768,1559,1582,1442,3785,35.3
Manhattan,61,MN19,Turtle Bay-East Midtown,51231,1849,1076,761,993,3523,6966,5430,4026,3284,3092,3159,3463,3691,9918,41.3
Manhattan,61,MN20,Murray Hill-Kips Bay,50742,1520,897,739,1069,7591,9722,5772,3896,2858,2724,2600,2614,2568,6172,33.1
Manhattan,61,MN21,Gramercy,27988,708,445,380,1794,3626,4811,3339,2207,1640,1451,1445,1375,1498,3269,33
Manhattan,61,MN22,East Village,44136,862,617,598,3259,7381,7720,5090,3376,2720,2463,2221,2145,1670,4014,31.3
Manhattan,61,MN23,West Village,66880,2219,1568,1054,3795,5313,9747,8103,5865,4637,4244,3938,3900,3798,8699,36.2
Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,42742,2499,1667,1200,1236,3921,5354,4943,4284,3423,2768,2455,2517,2248,4227,35.6
Manhattan,61,MN25,Battery Park City-Lower Manhattan,39699,2272,1055,691,1453,5203,7559,5978,4206,2823,1945,1589,1398,1182,2345,31.2
Manhattan,61,MN27,Chinatown,47844,1807,1802,1792,2049,4088,5091,4191,3517,3328,3434,3277,3016,2748,7704,39.4
Manhattan,61,MN28,Lower East Side,72957,3406,3505,3747,4341,5721,6382,5419,4884,4780,4916,5006,4755,4141,11954,39.1
Manhattan,61,MN31,Lenox Hill-Roosevelt Island,80771,4371,2648,1927,1624,5054,11182,10029,7096,5631,4900,4518,4555,4814,12422,37.4
Manhattan,61,MN32,Yorkville,77942,3751,2633,2152,1849,5375,11411,9299,6436,5487,4788,4592,4608,4624,10937,36.8
Manhattan,61,MN33,East Harlem South,57902,3288,3231,3302,4308,5274,5601,4665,3844,3775,3761,3581,2981,2686,7605,34.2
Manhattan,61,MN34,East Harlem North,58019,3727,3662,3998,4794,5150,4947,4378,3997,3875,3846,3579,2790,2440,6836,33
Manhattan,61,MN35,Washington Heights North,67136,3875,3278,3411,4208,6501,5997,5213,4761,4704,4457,4469,4142,3523,8597,36.1
Manhattan,61,MN36,Washington Heights South,84438,4501,4022,4486,5888,8377,8417,6680,5610,5646,5650,5474,5088,4316,10283,34.9
Manhattan,61,MN40,Upper East Side-Carnegie Hill,61207,3174,3136,3003,2277,2339,3690,3537,3637,4186,4142,4214,4172,4943,14757,46.9
Manhattan,61,MN50,Stuyvesant Town-Cooper Village,21049,794,557,493,449,2856,3138,1718,1124,1111,1206,1222,1365,1290,3726,37.3
Manhattan,61,MN99,park-cemetery-etc-Manhattan,1849,24,2,3,21,108,181,210,173,209,303,227,182,97,109,44.8
Queens,81,QN01,South Jamaica,38894,2613,2818,3019,3382,3108,2801,2514,2530,2776,2815,2666,2032,1669,4151,33.3
Queens,81,QN02,Springfield Gardens North,25409,1422,1414,1542,1797,1656,1528,1570,1577,1831,1964,1895,1694,1659,3860,40.5
Queens,81,QN03,Springfield Gardens South-Brookville,20132,1453,1337,1456,1567,1586,1497,1378,1270,1424,1591,1425,1098,953,2097,34.3
Queens,81,QN05,Rosedale,25063,1460,1685,1815,2049,1937,1764,1643,1591,1798,2129,1996,1656,1234,2306,35.5
Queens,81,QN06,Jamaica Estates-Holliswood,25480,1279,1303,1334,1531,1842,1737,1667,1617,1734,1800,1916,1870,1726,4124,41.1
Queens,81,QN07,Hollis,20269,1160,1154,1319,1567,1672,1470,1281,1295,1409,1627,1549,1234,1109,2423,37.1
